ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
ELET3,N1_painel,11235.9999920639,4796.28172368128,11531.8920582193,4587.47688871182,2.56585879109454,-4.5516269625959
ELET3,RW,11531.8920582193,4587.47688871182,11531.8920582193,4587.47688871182,0,0
ELET3,AR1_indiv,11767.0856055062,4892.57567709232,11531.8920582193,4587.47688871182,-2.03950527892138,-6.65068829297522
ELET6,AR1_painel,5651.88408203555,2539.27221936011,5694.47904798995,2422.79934672685,0.748004612808817,-4.80736767535519
ELET6,N1_painel,5652.70373559141,2624.23700099439,5694.47904798995,2422.79934672685,0.733610784173155,-8.31425245923403
ELET6,FATOR1_painel,5660.31573120331,2697.1902776375,5694.47904798995,2422.79934672685,0.599937527186034,-11.3253675456598
ELET6,RW,5694.47904798995,2422.79934672685,5694.47904798995,2422.79934672685,0,0
ELET6,AR1_indiv,5840.13446862923,2607.83300761413,5694.47904798995,2422.79934672685,-2.5578357460232,-7.63718469452563
EMBR3,RW,3345.04742686706,1303.43147351787,3345.04742686706,1303.43147351787,0,0
EMBR3,N1_painel,3475.08926276889,1445.90016249678,3345.04742686706,1303.43147351787,-3.8875931879875,-10.9302784130569
EMBR3,FATOR1_painel,3480.76890010865,1434.62636866755,3345.04742686706,1303.43147351787,-4.05738561885518,-10.0653465728888
EMBR3,AR1_painel,3485.39392000465,1405.87937522968,3345.04742686706,1303.43147351787,-4.19565032203564,-7.85986097414948
EMBR3,AR1_indiv,3547.94140213608,1449.19112177471,3345.04742686706,1303.43147351787,-6.06550369478778,-11.1827626705567
ENAT3,RW,1013.87997559804,351.557310331548,1013.87997559804,351.557310331548,0,0
ENAT3,AR1_indiv,1059.55077952377,387.305978702131,1013.87997559804,351.557310331548,-4.50455724789209,-10.1686602212507
ENAT3,AR1_painel,1060.47627419432,386.473364059375,1013.87997559804,351.557310331548,-4.59583971651068,-9.9318241156467
ENAT3,FATOR1_painel,1067.24680643792,413.791605903491,1013.87997559804,351.557310331548,-5.26362410978647,-17.7024609481884
ENAT3,N1_painel,1069.64086224984,412.450844523864,1013.87997559804,351.557310331548,-5.49975223831696,-17.3210831926346
ENBR3,RW,4807.02288331261,1540.73749306028,4807.02288331261,1540.73749306028,0,0
ENBR3,AR1_painel,4838.22633274729,1649.17697505943,4807.02288331261,1540.73749306028,-0.649122132182844,-7.03815429218637
ENBR3,N1_painel,4858.47418394805,1829.58049965856,4807.02288331261,1540.73749306028,-1.07033608710396,-18.7470615792289
ENBR3,FATOR1_painel,4866.6196382916,1782.98743429183,4807.02288331261,1540.73749306028,-1.23978513158065,-15.7229860584736
ENBR3,AR1_indiv,4930.19029561745,1657.83719579901,4807.02288331261,1540.73749306028,-2.56223894278544,-7.60023711152384
ENEV3,RW,11439.6725152916,4832.60163038221,11439.6725152916,4832.60163038221,0,0
ENEV3,FATOR1_painel,11460.4081291428,4953.93504507871,11439.6725152916,4832.60163038221,-0.181260554648488,-2.51072660187175
ENEV3,N1_painel,11466.4746799037,4929.35604585985,11439.6725152916,4832.60163038221,-0.234291362591588,-2.00211858700179
ENEV3,AR1_painel,11467.3299223877,4828.7102620089,11439.6725152916,4832.60163038221,-0.241767472444243,0.0805232599526917
ENEV3,AR1_indiv,11529.5757702384,4947.22443028271,11439.6725152916,4832.60163038221,-0.785890110286358,-2.37186527397324
ENGI1,RW,2057.9861258196,325.144589611446,2057.9861258196,325.144589611446,0,0
ENGI1,FATOR1_painel,2120.88611875203,366.335150385283,2057.9861258196,325.144589611446,-3.05638566476605,-12.6683826487964
ENGI1,AR1_indiv,2120.89156759463,366.194682400866,2057.9861258196,325.144589611446,-3.05665043052605,-12.6251809505659
ENGI1,AR1_painel,2121.06412888415,363.769219625574,2057.9861258196,325.144589611446,-3.06503538936265,-11.8792165849307
ENGI1,N1_painel,2121.33938578938,377.340253911014,2057.9861258196,325.144589611446,-3.07841045063169,-16.0530625350226
ENGI11,RW,9532.81029971737,3491.94171296761,9532.81029971737,3491.94171296761,0,0
ENGI11,N1_painel,9579.05372389831,3604.12616488287,9532.81029971737,3491.94171296761,-0.485097497243925,-3.21266679505714
ENGI11,FATOR1_painel,9585.5672504071,3654.6204749267,9532.81029971737,3491.94171296761,-0.553424950576176,-4.65869064638091
ENGI11,AR1_painel,9586.36959833033,3576.25898798984,9532.81029971737,3491.94171296761,-0.561841649304085,-2.4146243538119
ENGI11,AR1_indiv,9592.30593353612,3734.09264817195,9532.81029971737,3491.94171296761,-0.624114316221291,-6.93456406517583
ENGI4,RW,33.9536815000475,5.23031572633154,33.9536815000475,5.23031572633154,0,0
ENGI4,FATOR1_painel,34.5655819503239,6.67285422928422,33.9536815000475,5.23031572633154,-1.80216230830679,-27.5803331659376
ENGI4,N1_painel,34.5750962733319,6.67477669583415,33.9536815000475,5.23031572633154,-1.83018378517672,-27.6170893896634
ENGI4,AR1_painel,34.5763249283239,6.68416694181209,33.9536815000475,5.23031572633154,-1.83380240600852,-27.7966243636358
ENGI4,AR1_indiv,34.5776312664986,6.67073807807126,33.9536815000475,5.23031572633154,-1.83764981847454,-27.5398738261257
EQPA3,RW,797.147395080857,148.712801328916,797.147395080857,148.712801328916,0,0
EQPA3,AR1_indiv,1157.38082738266,204.399698968191,797.147395080857,148.712801328916,-45.1903166873257,-37.4459341372429
EQPA3,FATOR1_painel,1157.4151204567,204.847072716883,797.147395080857,148.712801328916,-45.1946186613702,-37.7467648288134
EQPA3,N1_painel,1157.41925218661,205.103937429085,797.147395080857,148.712801328916,-45.1951369757917,-37.9194901825873
